Name,Phone,Web Address,Location,Reason to Contact/etc
Energy Resource Center,719-591-0772,erc-co.org,"540 E Cimarron St, Colorado Springs, CO, 80903","Not for profit that helps people check for energy consumption, household carbon footprint, home safety and detection, home insulation, appliance efficiency, solar solutions; save money on energy costs, cut energy waste, assist with affordable housing crisis, application for benefits or weatherization program, energy assessments, post-energy assessment steps, completion of work, final inspection, resource database for energy efficiency"
Feeding Colorado,720-234-9317,https://feedingcolorado.org/find-food/     info@feedingcolorado.org,PO Box 4001 Lafayette CO 80026,"Food bank list for all of Colorado, resource database"
Find Shelter via US Department of Housing and Urban Development,202-708-1112  tty: 202-708-1455,https://www.hud.gov/findshelter,,"Find shelter in your area, resource database for housing/rent/section 8, housing counselor, reporting housing discrimination, coronavirus resources"
Flying Horse Foundation,303-660-3583,flyinghorsefoundation.org   info@flyinghorsefoundation.org,"9663 E Palmer Divide Ave, Larkspur CO 80118","assists at-risk and underserved children through equine-assisted learning. senior program serves residents who would enjoy getting out of their environment to experience the open skies, fresh and airy serenity; El Paso Couty, Douglas County resource database, foster and adoptive family resources, develpmental relationships framework, surrounding activities"
Foster Parent College,800-777-6636 fax: 541-343-0177,fosterparentcollege.com,support@fosterparentcollege.com,Various classes and resource database for foster parents
Grace's List,,https://new.graceslist.org/services/tags/colorado-springs/directory/categories/homeless-shelters/,,"emergency services directory offering a list of local homeless shelters, churches, food banks and other emergency services, resource database"
Grant Watch,,grantwatch.com,,Offers grants to the needy and tracks if the grants are active. Grant resource database
Great Nonprofits,,https://greatnonprofits.org/city/colorado-springs/CO/category:religion/sort:review_count/direction:desc,,resource database of not-for-profits
Handicapable Mobility Resource Guide,,https://www.braunability.com/us/en/help-me-buy/grants-funding/wheelchair-vehicle-grants-and-funding-by-state/colorado-wheelchair-van-grants.html, ,Offers possible funding/grants/resources to get mobility needs met in the area/resource database
Healthcare for the Homeless Directory,,https://nhchc.org/grantee-directory/,,resource database for homeless healthcare
Helping Hands,211 719-955-0742 :8 :5,https://research.ppld.org/HelpingHands  nflemate@ppld.org,"po box 1579 Colorado Springs, CO, 80901-1579","List of LOCAL Resources, clothing, diapers, food, resource database"
Housing Connects,844-926-6632,coloradohousingconnects.org,2250 Eaton St STE B Denver 80214,Housing helpline run by the state. Kind of a 211/resource database specifically for housing resources
Hunger Free Colorado,855-855-4626,,,Phone line food resources near you; resource database only via phone
Joint Initiatives for Youth & Families,719-630-0927,jointinitiatives.org,"123 E. Las Animas St., C/S, CO, 80903","military family resources, child health and behavior supports, finding quality child care, opening a child care business, early childhood workforce, resource database"
National Mobility Equipment Dealers Association,1-813-264-2697,https://nmeda.org/   info@nmeda.org,FL,"Transport resources for handicapable vehicles and transportation, resource database"
Need Project,719-581-2404,needproject.org,contactus@needproject.org,Assistance and resource database for families with children with special needs
Next Door Communication Website and App,,nextdoor.com,,Not a resource database but a useful place to request assistance and local information/etc
orgcode.com,1-800-355-0420,https://www.orgcode.com/free-resources,Canada,Offers free resource database/training classes/organizational input on how to solve/reduce/prevent homelessness
Pikes Peak United Way,719-632-1543,http://www.ppunitedway.org/,518 N Nevada Ave 80903,"Helps with family and youth with job oppor, mentorship, etc; resource database"
Relay Colorado,711,https://relaycolorado.com/,,"Relay services, captioned telephone services, speech to speech services, relay conference captioning, outreach program, hearing callers/businesses, resource database"
Remerg,303-955-7372,remerg.com,"PO Box 78463 Denver, CO 80218","Re-entry Resources for Colorado, map of resources included, resource database"
Royal Gorge Chamber Alliance,800-876-7922,royalgorgechamberalliance.org,"424 Main St, Canon City, CO 81212","Coalition of Colorado businesses supporting not for profits, resource database"
Rural Communities Tribal Programs and Resources ,,https://www.rural.gov/help-for-rural-communities/tribal-programs-and-resources,,List of Resources in the rural areas for Native Americans/resource database
Section 42 Housing (not local),,https://ccdenver.org/housing/tax-credit/,,"Not an exhaustive list of section 42 participants, but still a decent list/resource database of places that have income restricted housing available. Tax break for apartment complexes that keep a percentage of their units for low income families."
Serenity Recovery Connection,719-465-2295,srchope.org,985 W Fillmore St 80907,"Recovery solutions for addiction, bus passes A LOT, good recommendation from Mr. Justin, peer cert classes, has scholarships, resource database"
Silver Key Senior Services,719-884-2300,https://www.silverkey.org/,"1625 S Murray Blvd, Colorado Springs, CO, 80916","Senior Resources, resource database, housing, transport, food, appointment, rent assistance, eviction help, moving assistance, medical, co-pay, no back pay, hearing aid assistance, emergency prescription, minor home repairs; Home assistance: 719-884-2300"
Traveler's Aid International,,https://www.travelersaid.org/,,"Bus passes, disability assistance, hotlines, active military, travel tips, food, shelter, resource database, food"
Western Colorado Housing Resources,,https://hrwco.org/,,Western Colorado housing resource database
