Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?,,,,,,,,,,,,,,,,,,,,
Mountain View Electric Association,719-495-2283,http://mvea.coop/,"11140 E Woodmen Rd, Falcon","Funding to assist customers of MVEA. Past due med bills, propane utility bills, car repairs, wheel chairs, dental, glasses, rent, mortgages",Mountain View Electric Association,719-495-2283,http://mvea.coop/,"11140 E Woodmen Rd, Falcon","Funding to assist customers of MVEA. Past due med bills, propane utility bills, car repairs, wheel chairs, dental, glasses, rent, mortgages",Mountain View Electric Association,719-495-2283,http://mvea.coop/,"11140 E Woodmen Rd, Falcon","Funding to assist customers of MVEA. Past due med bills, propane utility bills, car repairs, wheel chairs, dental, glasses, rent, mortgages",Mountain View Electric Association,719-495-2283,http://mvea.coop/,"11140 E Woodmen Rd, Falcon","Funding to assist customers of MVEA. Past due med bills, propane utility bills, car repairs, wheel chairs, dental, glasses, rent, mortgages",Mountain View Electric Association,719-495-2283,http://mvea.coop/,"11140 E Woodmen Rd, Falcon","Funding to assist customers of MVEA. Past due med bills, propane utility bills, car repairs, wheel chairs, dental, glasses, rent, mortgages"
Move Colorado,,https://www.movecolorado.org/about-move-colorado/,,Rural Transportation resources,,,,,,,,,,,,,,,,,,,,
Neighbors Helping Neighbors,,https://www.nhnusa.org/index.html,,"Mentor and coaches, volunteers for unemployed, underemployed, veterans",,,,,,,,,,,,,,,,,,,,
NoCo Foundation,970-224-3462,https://nocofoundation.org/    info@nocofoundation.org,,"Assissts NE Colorado, N, NE of Dener, charitable funds",,,,,,,,,,,,,,,,,,,,
Palmer Lake Recovery,1-844-958-4284,https://palmerlakerecovery.com/,"The Recovery Village at Palmer Lake, 443 S Hwy 105, Palmer Lake, CO 80133",Sober living,,,,,,,,,,,,,,,,,,,,
Paws 'n' Hooves,719-500-1880,https://www.pawsnhoovescolorado.org/   pawhoofcolorado@gmail.com,"15954 Jackson Creek Pkwy Ste B # 574 Monument, CO 80132",Helps save the abandoned/neglected animals and find them loving forever homes,,,,,,,,,,,,,,,,,,,,
Pawsitive K9 Solutions CO,719-251-9746,https://www.pawsitivek9solutionsco.com/   pawsitivek9solutionsco@gmail.com ,"221 Columbia Ave Swink, CO 81077",Dog resources for all of Colorado,,,,,,,,,,,,,,,,,,,,
"PeaceWorks, Inc.",303-838-8181,https://peaceworksinc.co/,"Park & Jefferson Counties, CO","24/7 crisis line, emergency shelter, legal support, advocacy, emergency pet shelter, mobile advocacy, therapy, support groups, & education",,,,,,,,,,,,,,,,,,,,
Project Hope of Gunnison Valley,970-275-1193,https://www.hope4gv.org/,"Gunnison, CO","24/7 crisis line, emergency shelter, resources, transportation, advocacy, financial assistance, legal aid, housing, counseling, support groups",,,,,,,,,,,,,,,,,,,,
Public Utilities Commission Bills Program,303-869-0380,https://puc.colorado.gov/utilitybillhelp?utm_medium=email&utm_source=govdelivery,dora_utility_bill_help@state.co.us,"Excel energy/black hills energy/atmos energy/CO natural gas customer who are receiving any kind of benefits may qualify for: pilot Utility Bill Help program (UBH), a utility energy assistance program for income qualified consumers. The UBH program helps Coloradans access resources to manage winter heating expenses.",,,,,,,,,,,,,,,,,,,,
Rape Abuse and Incest National Network,800-656-HOPE,,"More than 1,100 trained volunteers are on duty and available to help victims at RAINN-affiliated crisis centers across the country",,,,,,,,,,,,,,,,,,,,,
"Renew, Inc.",970-565-9116,https://renew-inc.org/,"Cortez, CO","24/7 crisis line, resources, & emergency shelter",,,,,,,,,,,,,,,,,,,,
Response,970-925-7233,https://responsehelps.org/,"Aspen, CO","24/7 crisis line, emergency shelter, court accompaniment, advocacy, sexual harassment assistance, medical accompaniment, immigration assistance, & education",,,,,,,,,,,,,,,,,,,,
Rocky Mountain Behavioral Health,,https://rmbh.org/ ,,Mental Health Resource,,,,,,,,,,,,,,,,,,,,
"S.H.A.R.E., Inc.",970-867-4444,https://sharemorgancounty.org/,"Morgan County, CO","24/7 crisis line, emergency shelter, support groups, advocacy, transitional housing, & legal advocacy",,,,,,,,,,,,,,,,,,,,
Safe Families for Children,773-355-5577   Fax: 773-355-5564,https://coloradosprings.safe-families.org/   info@safefamilies.net ,jstephenson@safefamilies.net ,"Prevent child abuse and neglect, strengthen and stabilize the family, reduce the number fo children going into foster care, partnering with churches where families open their homes to families in crisis",,,,,,,,,,,,,,,,,,,,
"Safe Shelter of St. Vrain Valley	303-772-4422	https://safeshelterofstvrain.org/	Longmont, CO	24/7 crisis line, emergency shelter, individual & group counseling, case management, legal advocacy, & education																								",,,,,,,,,,,,,,,,,,,,,,,,
Section 42 Housing (not local),,https://ccdenver.org/housing/tax-credit/,,"Not an exhaustive list of section 42 participants, but still a decent list/resource database of places that have income restricted housing available",,,,,,,,,,,,,,,,,,,,
Senior/disabled housing list,,https://ccdenver.org/housing/senior/,,Affordable housing-only one local-for seniors and the disabled.,,,,,,,,,,,,,,,,,,,,
Supporting Courts by Creating Opportunities for Recovery SCCOR,,https://supportingcourts4recovery.org/,,"We are empowering individuals moving through the court system to have the support and services necessary to maintain sobriety, become rehabilitated, and contributing members of society so that they do not fall back into the cycle of incarceration.   SCCOR was created in 2019 as a non-profit to offer ancillary services and resources such as food, clothing, transportation, cell phones, baby food, and clothing to individuals and graduates of Problem-Solving Courts in El Paso and Teller County.",,,,,,,,,,,,,,,,,,,,
Temporary Assistance for Needy Families,303-866-5700,https://cdhs.colorado.gov/colorado-works   ,"1575 Sherman St, Denver, CO 80203","Cash payment, schooling, training and jobs, elderly, disabilities, children, parents",,,,,,,,,,,,,,,,,,,,
"Tu Casa, Inc.",719-589-2465,https://www.slvtucasa.net/,"Alamosa, CO","24/7 crisis line, filing of legal documents, assistance with accessing social services, emergency shelter, assistance with resource/financial applications, child advocacy, & prevention education",,,,,,,,,,,,,,,,,,,,
Volunteers of America CORE,,https://sites.google.com/view/cor3-resources,Colorado Springs,"RESOURCE DATABASE The goal of the VOACO Colorado Rapid Rehousing & Re-entry (COR3) program is to house highly vulnerable households experiencing homelessness, justice involvement, and behavioral health issues, while simultaneously connecting those households to wrap-around support services designed to promote housing stability.",,,,,,,,,,,,,,,,,,,,
Volunteers of America Southwest Safehouse,970-259-5443,https://www.voacolorado.org/gethelp-southernco-southwestsafehouse,"Durango, CO","24/7 crisis line, emergency shelter, resources, counseling, children’s services, life skills training, employment services, & parenting education",,,,,,,,,,,,,,,,,,,,
Western Colorado Housing Resources,,https://hrwco.org/,,Western Colorado housing resource database,,,,,,,,,,,,,,,,,,,,
Woodmen Valley Chapel,719-388-5000 290 E Woodmen Rd,719-388-4916 8292 Woodmen Valley VW   woodmenvalley.org,719-533-6800 1681 Wagon Bow Way Monument   719-534-5215 1605 S Corona Ave,"Hospital visits, meal train ministry, sexuality struggles, marriage, relationship advice or counseling faith based, parent counseling, miscarriage/stillbirth/infant loss counseling; ",,,,,,,,,,,,,,,,,,,,
