Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Cornerstone Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us, ,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
CPCD,719-635-1536,https://www.cpcdheadstart.org/,2330 Robinson St 80904,Free preschool
Crisis Center,303-688-8484,https://www.thecrisiscenter.org/,"Littleton, CO","24/7 crisis line, emergency shelter, advocacy, individual & group therapy, legal advocacy, & education"
Cross Fire Ministries,719-447-1806,https://www.crossfireministries.org/,"3975 N Academy Vlvd, Colroado Springs, CO 80917","Food Pantry, thrift store, utility assistance, educational opportunities: cooking, super saver saturday/financial classes, support group for addiction; must rsvp before attending cooking classes; they have a program that if you sign up you can get $50 gift card to their thrift store and one free grocery trip per week through their food pantry"
Cross Purpose,,https://www.crosspurpose.org/career-tracks/carpentry/,"Denver, CO","Employment jobs/classes/employment carpentry, free certification in carpentry"
CWLA Child Welfare League of America,202-688-4200,cwla.org,"Washington, DC   cwla@cwla.org","Child advocacy, training for parents, resource database, consultation for child facing agencies, Relias partnership"
Deerfield Hills Community Center,719-385-5996,http://www.coloradosprings.gov/Deerfield,"4290 Deerfield Hills Rd, Colorado Springs, CO 80916","Mobile food pantry, everyday eats (application: https://coloradosprings.gov/system/files/2024-06/everyday-eats-application-english.pdf), elementary before and after school program in HSD2 Elementary youth programs parent handbook, community playgroup, fun events for kiddos"
Defend the Fatherless,,https://www.defendthefatherless.org/,,"Offers mental health 'scholarships' to those from foster/adoptive/kinship families whom are seeking mental health services for any member of the family-providers of choice. Religious organization that offers male mentorship to those that are lacking a paternal influence concerning support and community for the emotional, educational, financial and spiritual need of the families."
Denver Indian Center,303-936-2688,denverindiancenter.org,"4407 Morrison Rd, Denver CO 80219","All resources possibly needed, glasses, interview outfits, job classes, housing, food"
Destinations Career Academy of Colorado,800-705-1528,https://codca.k12.com/,8601 Turnpike Dr Ste 100 Westminster CO 80031,"Tuition free public school; Destinations Career Academy of Colorado (Destinations) is a public online school, authorized by Julesburg School District and the CO Department of Education, approved by the NCAA, and serves students living across the entire state of Colorado. Destinations, powered by K12, helps students in grades 4–12 get a jump-start on their college and career dreams by combining dynamic core academics with authentic college and career exploration in over 20 approved Career and Technical pathways."
Disability Jobs Training,,https://www.usa.gov/disability-jobs-training,,Job resource database for those with mental or physical disabilities
Discovery Cafe,719-650-5978,discoverycafe.org,"207 East Avenue, Rifle CO 81650 or 824 Cooper Ave, Glenwood Springs, CO 81601","Resources for reentry, gardening, employment, construction experience, wifi access, cooking classes, mental health services"
Discovery Cafe,,https://docs.google.com/forms/d/e/1FAIpQLSeoxrz6lXELZLCu4PPV7FDhpeBZZHVPwRRovukMzJmlcYHiDQ/viewform,,Peer recovery coach class training application for 100% scholarship
District 2 Adult Education,719-407-2941,https://www.hsd2.org/community/adult-education  dlondono@hsd2.org,"1520 Verde Dr, C/S, CO 80910","English as a second language, adult basic education (literacy), GED: best in county, Ms. Londono will help walk you through it step by step"
DOC Reentry Employment and Training Resources,,https://drive.google.com/file/d/0B4D7ltAV_jW1UjlaVm1FTXRnYldDUmJZcUhvbzl0dm9OVVdV/view?resourcekey=0-dVWBVLFHfzxgmLmsEY1U5g,,Statewide contacts for reentry services
Donors Choose,,donorschoose.org,,Helps funding for classrooms
Elite Equine Rescue,719-428-0104,eliteequineco.com,"1670 Spring Valley Dr, Colorado Springs, CO 80921","Giving performance horses that are in jeopardy of being abused, abandoned, or slaughter-bound a second chance is what Elite Equine CO is all about with rehabilitation, retraining and rehoming. Takes volunteers"
Employer Tax Credit,,colorado.gov/cdle/taxcredits,,"Tax credit for employers that employ people with: vet status, food stamps, ex-felons, ssi, vocational rehab referrals, long term tanf, long-term unemployment recipients, short-term tanf recipients, designated community residents (rural renewal county)"
Empower Special Needs,719-465-3905,empoweredcarellc.com,2020 N Academy Blvd STE 376 C/S 80909,"Supported Community Connections (SCC) supports the abilities and skills necessary for individuals to access typical activities and community life. We emphasize helping individuals to get involved in their community by connecting to resources and supporting them in their efforts. May offer QMAP Certification, $90 1 day class 9-5; they will also hire you and train you for qmap"
Estes Valley Crisis Advocates,720-764-5396,https://www.crisisadvocates.org/,"Estes Park, CO","24/7 crisis line, advocacy, counseling, emergency shelter, & education"
Eudaimonia,T/P 512-277-2025,https://eudaimoniahomes.com/,,"Clinical therapy, alcohol and drug screening, employment assistance, volunteer placement, educational planning, peer recovery support, three-phase recovery program; sober living"
Experience Camps,,experiencecamps.org,,Camps across the nation that allows children who've lost one or both parents to go to camp at reduced or no charge
Fact Net,,factnet.org,,"non-profit educating on global warming, social justice, cults"
Families and Communities Rising,919-490-5577,fcrinc.org,"4220 NC-55 Ste 330, Durham, NC 27713","To educate and empower children, families, communities, and organizations by delivering unique educational and supportive services."
Families Rising,,https://wearefamiliesrising.org/,,"Assist adoptive, foster and kinship families, educate child welfare professionals and champion the well-being of children and families"
Familly Resource Network CO,719-227-7477,https://familyresourcenetworkco.com/clinical-services/supervised-parenting-time,"5360 N Academy Blvd Ste 130, Colorado Springs, CO 80918","Resource Database, family visitation, CFI/Meditation, therapy (individual, family, couples), home studies, Contractual adoptive support services, to include home studies, pre and post placement services, and trainings, family preservation, supervised parenting time, classes such as first aid cpr, parenting classes, parent child interactions, life skills"
Family Connections,(719) 520-1019,https://www.ccharitiescc.org/family-connections-at-helen-hunt-campus/,2503 Holiday Lane 80909,"Provides high-quality, family- and child-oriented services for little or no cost. Also offer community trainings on child abuse/neglect issues, parenting, child development and shaken baby syndrome prevention."
"Family Crisis Services, Inc.",719-275-2429,https://www.familycrisisonline.org/,"Canon City, CO","24/7 crisis line, advocacy, emergency shelter, legal information & support, counseling, education, & emergency room support"
Family Support Center FSC,(719) 644-7511,https://fscautism.com/,6160 Tutt Blvd #120,"treatment of children and families impacted by Autism Spectrum Disorders. We understand that autism impacts the entire family and have designed a treatment program that offers support, education, treatment and a place of refuge for families."
Family Voices,303-877-1747,https://www.familyvoicesco.org/,info@familyvoicesco.org,"Resource Database for family needs; resource navigation; education and training (medicaid 101, HCBS-home and community based service waivers, insurance appeals, medical home model of care, family engagement, funding, navigating systems of care); advocacy and policy; "
Federal Government Loan,,https://www.usa.gov/government-loan,,"List of links for federal loans for: students who need help paying for school; buying a home/home repairs, funding their business, needing support after a disaster, farmers and ranchers"
Federal guide to Financial Counseling,,https://www.cob.uscourts.gov/credit-counseling-debtor-education-courses, ,Debtor and credit counseling
Feeding Friends,"1st and 3rd Thursdays, 10:30 am-when food runs out",,Mitchell High School 1205 Potter Dr 80909,Mobile Food Pantry
Financial Readiness Program,719-526-4783,https://myarmybenefits.us.army.mil/Benefit-Library/Federal-Benefits/Financial-Readiness-Program-(FRP),,"The Army's Financial Readiness Program (FRP) is available at every installation. Army Community Service (ACS) FRP teaches Soldiers in both classroom training & individual counseling sessions, how to save and invest their money, how to establish savings goals, debt elimination strategies, and saving for emergencies. Through partnerships with non-profit corporations, many of these tools and resources are provided online for those geographically separated from an ACS office. Contact your local installation ACS center or Family Service Center for more information."
First Visitor,719-632-5700,https://www.peakvista.org/services/first-visitor,,"Classes for parents to prevent sudden infant death syndrome (SIDS), abusive head trauma (AHT), or shaken baby syndrome (SBS); home mental health visits for yough children, program A: 0-12 months; probram B: 12-24 months; program C: 24-36 months; program D: 3-5 years. "
Food Industry Training Class,,https://ppld.org/FIT,,Four-week training program to learn skills for work as a prep cook or line cook. ServSafe Food Handler certificate
Food to Power,719-470-2737,http://www.foodtopowerco.org/,"1090 S Institute St, CS, CO 80903","reduce food waste, increase food access, food education, food production, use foods from overgrown gardens, mulch from food waste, Hillside Hub"
Forget-Me-Not,719-922-7906,forgetmenotcc.com     info@forgetmenotcc.com,"1425 N Union Blvd C/S, CO 80909","for children with mental or physical disabilities: part/full-day therapy sessions that helps to increase verbal, non-verbal comm; improve social interactions and relationships; develop self-help skills such as potty training, eating, and dressing; reduce harmful behaviors such as aggression, self-injury, elopement, tantrums; improve cognition, learning and play skills"
Foster Care and Adoptive Community,,fosterparents.com,,"foster parent guidance classes and support community, social worker/mft ceu credits and you can get all 40 hours from our courses-20 under each category!!!!!"
Foster Parent College,800-777-6636 fax: 541-343-0177,fosterparentcollege.com,support@fosterparentcollege.com,Various classes and resource database for foster parents
Foundation for Successful living,719-227-3939; Denver: 720-921-1405,thefsl.org,"1879 Austin Bluffs Pkwy, 80918",Helps individuals with disabilities to find a vocation that they can flourish in and to become closer to independence and freedom
Fountain's North Pole,,unk...,,"gifts for students in Fountain-Fort Carson school district 8 prek-12th grade; student must attend AIM, Aragon, Conrad, ELC, Eagleside, FFCHS, FMS, Jordahl, Mesa, Welte/FFCOA"
Friends of Garden of the Gods,,https://friendsofgardenofthegods.org/,,"Promote, preserve and enhance the natural and cultural assets of the Park through advocacy, education and support"
FRSO Revolution Socialism Liberation,612-477-5807,frso.org,,Freedom Road Socialist Organization (FRSO) is a national organization of revolutionaries fighting for socialism in the United States. Our home is in the working class.
Gateway to Success,719-374-1650,,,Substance Abuse Treatment and MA/OT Psychiatric services/DUI education/Domestic violence treatment
Gateways Through the Rockies,719-390-2129,beckyboerjan@elpasoco.com,"EPC, Sherriffs office","Educational, therapeutic programming, re0entry support, employable work experiences through community based partnerships"
Gather Food Studios,719-308-2992,http://www.gatherfoodstudio.com/,"2011 W Colorado Ave, Colorado Springs, CO 80904","Food classes, may have ability to offer deal to us?"
Genesis Center of Hope,719-358-8132,https://www.gencenters.org/,"308 W Fillmore St ste 200, C/S, CO, 80907","A donation-based and volunteer-run non profit organization with a special partnership with Bed Bath and Beyond and Walmart. Our charitable store offers a variety of items, such as bedding, vacuums, fans, cleaning products, bathroom and kitchen supplies, school supplies, clothing, and more for individuals and families in need. There is no cost to participate in our program, but we do welcome monetary donations, of whatever shoppers can afford."
Good Neighbor Garage,720-941-5897,goodneighborgarage.com  care@ehands.org   info@goodneighborgarage.org,"16097 S Golden Rd, Golden, CO, 80401","GNG is a unique car donation program as it is one of few charities in Colorado, which allows you to claim the full-market value of your donated car. When you donate to GNG, you can maximize your tax deduction making it a win-win for all! If you have additional questions, or if you would like to find out more about donating your vehicle to Good Neighbor Garage, please contact us at (720) 941-5897 or email GNG at info@goodneighborgarage.org"
Goodwill Resources,,https://goodwillcolorado.org/services/,,"Resource database of what's offered by goodwill. Help with farmers/ranchers, developmental, aging challenges, independence in agriculture trade and commerce; job training and support, LEAP (low-income energy assistance program); information technology training A+ cert, network + cert and security + cert for comptia; career development services, youth education/career development, mentoring, soft skills, work opportunities for those with disabilities (custodial), child support/improved payments and child success (impacs 303-412-3150), educational and social integration for refugee youth (CLIMB 720-392-8242), work skills and family stabilization (colorado works/tanf), soft and practical skills training (self-esteem, self-motivation, personal responsibility and reliability, cultural diversity and acceptance 720-738-0001), day program for individuals with significant disabilities, day program for individuals with developmental disabilities (POSSIBILITIES), day program for seniors (VOYAGES), in0home care: your life your way, Senior move managers (things forgotten not gone, moving service to help seniors moving into aging community/etc); in-home support services, financial support to caregivers for loved ones with disabilities on medicaid (free medical benefits); residential services (individuals with developmental and age-related challenges to remain independent); transitional students support (one-on-one job skills development for preparation for graduation); commercial contract services for businesses. Donation pick ups"
Griffith Center,303-237-6865,https://griffithcenters.org/   info@griffithcenters.org,10190 Bannock St STE 120 80260,"Griffith Centers is a non-profit organization offering a full spectrum of mental and behavioral health services to care for populations who have experienced trauma and hardships to build resiliency, hope, and healing for those we serve. Advocate Kids Success/ASK school and truancy; specialized instruction for students in grades 3-12; outpatient mental and behavioral health services; adults with disabilities services; SUD substance use disorder services; supportive services"
Harrison School District 2,,,,"Prospect Village, through 'We Fortify' will house 18-25 yo young adults facing homelessness ($600/month). Housing for its staff, 'Wendy's Village' ($800/month) "
Harvest Farm,970-568-9803  303-297-1815   970-224-4302,https://www.harvestfarm.org/,Harvest Farm: 80549; Denver Rescue Mission: 80216; Fort Collins: 80524,"Denver Rescue Mission; homelessness unhomed individuals; New Life Program; MEN seeking to exit substance abuse and homelessness. Case Management, work therapy, counseling, spiritual development, education and life skills, christian based"
Helen Hunt Catholic Charities-Family Connections,719-636-2345 719-578-1222,https://www.ccharitiescc.org/tag/helen-hunt-campus/   FamilySupport@CCharitiesCC.org,"917 E Moreno St, Colorado Springs, CO, 80903","Family services, counseling, housing, preschool"
Helping Hands Act,,https://helpinghandsact.com/colorado/?gad_source=1&gclid=Cj0KCQjw0Oq2BhCCARIsAA5hubUL61YEgi4etr8yl9voBxbC6yO54qam8Hp-gEP028_1DqZ5PBM06isaAsySEALw_wcB, ,"housing, utility assistance, transportation, further education, tax preparation, job resources and more."
High Plains Helping Hands/Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/   Facebook: Fresh Start Center,"7375 Adventure Way, C/S, CO 80923?????????","We fight hunger, poverty, joblessness through sustainable agriculture, food distribution, employment programs, nursing support and case management, health services, education for farming and gardening, healthy cooking classes, finance coaching"
